Word,Definitions
cancel,to stop a planned event from happening
hesitate,to stop before doing something because you are unsure what to do
disturb,to stop someone from working or sleeping
suspend,to stop something for a period of time; to interrupt
retire,to stop working because you have reached a certain age
threat,warning of probable trouble
threaten,to say you will harm or hurt someone
emphasize,to stress the items that are important
throughout,"over or across an entire thing or place, or in every part of something"
throw,to use your arm to make a thing fly through the air
thus,therefore; so; as a result
ticket,piece of paper that lets you enter or use something
urge,to strongly persuade someone to do something
till,until
analyze,to study carefully to find out the meaning of
win,to succeed in a game or contest
tire,lose energy and feel that you need to rest
overcome,to succeed in a struggle
title,name given to something to identify or describe it
accomplish,to succeed in doing; complete successfully
collapse,to suddenly fall down or break apart
imply,"to suggest something, without saying it directly"
tomorrow,day after today
advise,to suggest what should be done
tackle,to take action to solve a difficult problem
tonight,night following this day
entertain,to take care of guests by helping them enjoy their time
bring,to take or go with someone to a place
happen,to take place or occur
topic,matter people talk or write about
total,whole number or amount of something
totally,in a complete way; completely; absolutely
tough,very difficult to do or deal with
tour,a journey to visit several places for pleasure
tourist,someone who travels to a place for pleasure
strip,to take something away from (someone)
toward,facing or moving in the direction of something
bother,to take the trouble to do something
chat,to talk in a friendly and relaxed manner
whisper,to talk with breath but no voice
track,to follow behind someone to see what they are doing
trade,"to buy, sell and exchange goods in business"
traditional,involved in a tradition
traffic,amount of activity over a communication system
educate,to teach someone in a school or college
thank,to tell someone you are grateful to them
transfer,to move something from one place to another
aside,to the side; out of the way; for later use
consider,to think carefully about something
transport,to carry things from one place to another
believe,to think or accept that something is true
travel,to go to a place that is far away
treat,to act in a certain way toward someone
treatment,way someone acts toward another
tree,tall green plants in a forest
trend,"general direction of developing, proceeding"
trial,concerning or used in a trial
stroke,to touch someone or something repeatedly in a caring way
sail,to travel on water in a ship or boat
trip,journey or visit to a place
trouble,state of difficulty or stress
resist,to try to stop or prevent something
compete,to try to win something such as a race or game
trust,to be confident that someone is honest and reliable
truth,real facts about something
spin,to turn around repeatedly
twist,to turn something in opposite directions at the same time
look,to turn your eyes in a particular direction
twice,two times
figure,to understand after thinking; work out
hold,to use hands or arms to carry or keep something
spend,to use money to pay for something
typical,normal; usual; expected
force,to use physical strength or violence to persuade
say,to use words to tell a message
speak,"to use words to tell information, express thoughts"
see,to use your eyes to look at something
smell,to use your nose to sense something
march,to walk with regular steps as a group
unclear,not easy to understand; not obvious
defeat,to win against someone in something such as a fight or game
pray,to wish or hope for something to happen or be true
strain,too much pressure on a person or system that can cause problems
soil,top layer of earth in which plants grow
head,top part of your body with eyes and a mouth
rear,towards the back part of something
unfortunately,in a way that is to be regretted; unluckily
journey,traveling from one place to another; trip
unique,unlike other things; being the only one like it
unit,single thing or person; a part of something larger
therapy,treatment intended to help fix your problem or medical illness
upset,"troubled, worried, or angry"
van,truck with an enclosed cargo space
university,high-level educational institution; college
pipe,"tube a round, hollow piece of metal, plastic, or wood"
unless,negative of 'if'
twin,two children born from the same mother at the same time
ratio,two numbers that show ​the relationship between two groups of people or things
vice,type of evildoing
climate,typical weather conditions in a particular place
blind,unable to see; with eyes that cannot see
raw,uncooked
upon,more formal term for on
beneath,under; in or to a lower position; below
illness,unhealthy condition of the mind or body
word,unit of language that has a meaning
meter,unit of length equal to 100 cm or about 39 inches
year,unit of time equal to 12 months
useful,that can help with a particular task
usual,being the way things occur most of the time
usually,normally; regularly
minute,unit of time equal to 60 seconds
ugly,unpleasant to look at; not attractive
yet,until now; up to the present
until,"up to, to indicate a point in time when something happens"
could,"used as the past form of can, to show possibility"
but,"used before you say something different, opposite"
various,several; consisting of different things or types
vary,"to be changeable, both up and down"
ourselves,used by a speaker to show that they and one or more people are affected by their action
vehicle,machine (such as a car) that is used to carry things
everyday,used or seen daily; suitable for daily use; ordinary
actually,used to add new (often different) information
version,particular form of something and other forms
with,used to express that people or things are together
might,used to express that something could happen
secondly,used to give a point or reason after the first
should,used to indicate what is proper or reasonable
or,"used to link alternatives, to introduce another choice"
some,used to refer to a person or thing that is not known
the,used to refer to something already mentioned
video,recording capturing action with sound
we,used to refer to the speaker and other people together
village,small town in the country
they,"used to refer to two or more people, animals, or things"
and,used to refer to two or more things
both,used to refer to two things at the same time
must,used to say that something is required or necessary
without,used to say you don't have something or it isn't in a place
versus,used to show that a thing or person is against another thing or person
visitor,one who goes to a place to see it (or someone)
for,"used to show the purpose, or need of something"
that,used to show which person or thing we are talking about
voice,sound made when you speak or sing
volume,"level of sound produced by an object, such as a radio or television"
may,used to talk about what is possible
than,used when comparing two things
vote,"to make a choice for or against, as in an election"
wait,to spend time until an expected thing happens
will,used with verbs to express the future
wall,"high, flat side of a room or building"
functional,useful; not just for decoration
electric,using a particular type of energy carried through metal wire
war,situation where armies fight each other
warm,slightly hot; not very hot
warn,to tell someone about possible danger
wash,to clean someone or something with soap and water
waste,to use valuable things ineffectively
digital,using electronic signals or computers
wave,to move your hand or arm to say hello or goodbye
experimental,using techniques that are different or untried before
train,vehicle that carries people and runs on rails
really,very
precise,very accurate and exact expression or detail
mad,"very angry, very strong feelings, crazy"
terrible,very bad; horrible
weapon,something that is used for fighting
awful,very bad; horrible; terrible
severe,very bad; very serious
weekend,Saturday and Sunday
massive,very big; very large and heavy
fantastic,"very fanciful in design, construction, or appearance"
weight,how heavy something is
great,very good; fantastic; wonderful
welcome,friendly greeting to someone who has arrived
extreme,very great in degree
greatly,very much
radical,very new and different from what is traditional
ancient,very old; having lived a very long time ago
newly,very recently; just done or made
whatever,anything or everything needed; no matter what
moment,very short or brief period of time
parallel,very similar and often occurring at the same time
slight,very small in degree or amount
whereas,taking into consideration the fact that
steel,very strong metal made of iron and other substances mixed together
intense,"very strong, great, or extreme in degree"
horrible,very unpleasant
tiny,"very, very small"
quite,very; in a complete or total manner
white,lightest color; the color of fresh snow and milk
form,visible shape or style; type; kind
curious,wanting to know more about something
competitive,wanting to win or to be better than others
wide,having a great distance from one side to the other
sound,waves traveling in air or water that can be heard
wife,married woman
wild,living in nature; not tame
mode,way of acting or doing something
yes,way to say you agree or will do something
wind,natural movement of outside air as part of the weather
window,opening in a wall or door to let in light
wine,alcoholic drink made from the juice of grapes
custom,what is usual or normal
winter,coldest season of the year
who,"what or which person or people, to ask about, talking about"
food,what people and animals eat to live
name,what something or someone is called
wish,to want something to happen or to become true
probability,what the chances are that something will happen
hello,what you say when you meet someone
hi,what you say when you meet someone; hello
excitement,when people feel very happy and enthusiastic
wonder,surprise caused by experiencing something amazing
wonderful,producing feelings of enjoyment or delight
invitation,when someone asks you to do something or go somewhere
pregnant,when women carry a child inside them that is not yet born
youth,when you are young; a young person
worker,person who works
pride,when you respect yourself
worry,to feel concerned or troubled about something
worth,how much something is worth; the value of something
hope,when you wish something would happen; what you wish
boundary,where one area ends and another begins
wrong,"not right, incorrect; not true; bad"
rice,white or brown grains from a plant used for food
yeah,yes (informal)
sugar,white sweet substance used to make foods sweeter
determination,will to achieve a goal despite difficulties
cable,"wire carrying electricity, tv signals, internet, etc."
yesterday,day before today
surely,with certainty; definitely
rapidly,with great speed
regardless,without being affected or concerned by something difficult or troubling
not,"word indicating the negative of verbs, adjectives, etc."
yourself,"reflexive form of 'you', used for an emphasis"
verb,word that expresses an action or state
when,word you use to ask about the time or day
where,word you use to ask the location of something
candidate,a person being considered for a job or position in office
language,words or signs used to communicate messages
conference,an event where people exchange ideas
efficiency,working well; producing something without waste
partnership,working with others for some purpose
valuable,worth a lot of money
criticism,written or spoken remarks about what is bad about someone or something
own,"yours, his, hers, etc.; not belonging to another"
